,0,1,2,3,4,_tempm,6,7,datetime_utc
165,0.2,0.193476886,0.741935484,0.99025974,0.119047619,0.2,0.916666667,0.090909091,14-01-2000 20.30
166,0.166666667,0.200427259,0.795698925,0.994588745,0.071428571,0.3,0.833333333,0.090909091,17-01-2000 21.30
167,0.233333333,0.224508835,0.741935484,0.992424242,0.142857143,0.28,0.805555556,0.272727273,28-01-2000 21.30
168,0.333333333,0.256226031,0.870967742,0.993506494,0.166666667,0.12,0,0,12-02-2000 18.30
169,0.266666667,0.26376376,0.483870968,0.987012987,0.30952381,0.35,0,0,16-02-2000 13.30
170,0.3,0.263959545,0.64516129,0.987012987,0.238095238,0.15,0.25,0.228501229,16-02-2000 16.30
171,0.666666667,0.206973294,0.483870968,0.974025974,0.619047619,0.25,0.694444444,0.228501229,11-06-2000 16.30
172,0.666666667,0.357195846,0.365591398,0.974025974,0.714285714,0.25,0.861111111,0.363636364,12-06-2000 5.30
173,0.633333333,0.417284866,0.301075269,0.972943723,0.761904762,0.25,0.861111111,0.363636364,12-06-2000 7.30
174,0.633333333,0.494065282,0.258064516,0.970779221,0.80952381,0.22,0.055555556,0.363636364,12-06-2000 10.30
175,0.733333333,0.584198813,0.322580645,0.96969697,0.80952381,0.14,0.333333333,0.137592138,18-06-2000 11.30
176,0.666666667,0.130192878,0.548387097,0.974025974,0.571428571,0.22,0.388888889,0.454545455,27-06-2000 18.30
177,0.633333333,0.146884273,0.47311828,0.975108225,0.595238095,0.25,0.444444444,0.181818182,29-06-2000 0.30
178,0.733333333,0.253709199,0.548387097,0.976190476,0.619047619,0.3,0.388888889,0.319410319,01-07-2000 3.30
179,0.733333333,0.213649852,0.591397849,0.974025974,0.595238095,0.196666667,0,0.076167076,03-07-2000 23.30
180,0.733333333,0.507418398,0.376344086,0.96969697,0.761904762,0.425,0,0.136363636,05-07-2000 12.30
181,0.6,0.170252225,0.419354839,0.971861472,0.619047619,0.5,0.277777778,0.228501229,10-07-2000 3.30
182,0.666666667,0.443991098,0.322580645,0.966450216,0.761904762,0.4,0.222222222,0.090909091,10-07-2000 11.30
183,0.633333333,0.257047478,0.387096774,0.967532468,0.666666667,0.35,0.361111111,0.363636364,10-07-2000 13.30
184,0.566666667,0.043397626,0.537634409,0.970779221,0.5,0.16,0.75,0.319410319,11-07-2000 1.30
185,0.666666667,0.206973294,0.483870968,0.970779221,0.619047619,0.4,0.361111111,0.272727273,12-07-2000 10.30
186,0.633333333,0.223664688,0.419354839,0.970779221,0.642857143,0.15,0.388888889,0.272727273,15-07-2000 2.30
187,0.833333333,0.314405179,1,0.975108225,0.476190476,0.25,0,0,24-07-2000 17.30
188,0.966666667,0.510756676,0.935483871,0.975108225,0.595238095,0.3,0.277777778,0.090909091,25-07-2000 15.30
189,0.8,0.170252225,0.774193548,0.972943723,0.547619048,0.4,0.638888889,0.137592138,01-09-2000 21.30
190,0.866666667,0.454005935,0.677419355,0.978354978,0.642857143,0.45,0.694444444,0.363636364,07-09-2000 6.30
191,0.866666667,0.59421365,0.559139785,0.977272727,0.714285714,0.4,0.277777778,0.363636364,15-09-2000 11.30
192,0.933333333,0.570845697,0.774193548,0.978354978,0.642857143,0.3,0.444444444,0.090909091,15-09-2000 14.30
193,0.766666667,0.50074184,0.430107527,0.977272727,0.738095238,0.5,0.027777778,0.272727273,16-09-2000 11.30
194,0.566666667,0.330489614,0.268817204,0.979437229,0.738095238,0.7,0.027777778,0.41031941,19-09-2000 9.30
195,0.633333333,0.297106825,0.365591398,0.979437229,0.69047619,0.5,0.083333333,0.319410319,19-09-2000 11.30
196,0.766666667,0.103486647,0.88172043,0.981601732,0.476190476,0.35,0,0,19-09-2000 22.30
197,0.7,0.34384273,0.419354839,0.980519481,0.69047619,0.5,1,0.272727273,24-09-2000 11.30
198,0.633333333,0.116839763,0.516129032,0.982683983,0.571428571,0.25,0.138888889,0.137592138,27-09-2000 16.30
199,0.633333333,0.18694362,0.451612903,0.983766234,0.619047619,0.14,0,0,28-09-2000 3.30
200,0.566666667,0.293768546,0.290322581,0.981601732,0.714285714,0.35,1,0.228501229,03-10-2000 11.30
201,0.7,0.390578635,0.397849462,0.981601732,0.714285714,0.25,0.166666667,0.319410319,05-10-2000 10.30
202,0.8,0.110163205,0.827956989,0.983766234,0.523809524,0.2,0.277777778,0.137592138,05-10-2000 19.30
203,0.633333333,0.069193418,0.709677419,0.983766234,0.452380952,0.09,0,0,11-10-2000 20.30
204,0.466666667,0.216988131,0.247311828,0.982683983,0.69047619,0.3,0.861111111,0.41031941,13-10-2000 6.30
205,0.366666667,0.096810089,0.215053763,0.981601732,0.642857143,0.35,0.861111111,0.228501229,14-10-2000 12.30
206,0.633333333,0.043094146,0.623655914,0.981601732,0.5,0.1,0.305555556,0.137592138,23-10-2000 17.30
207,0.566666667,0.03171365,0.76344086,0.985930736,0.380952381,0.08,0,0,25-10-2000 21.30
208,0.633333333,0.07296524,0.817204301,0.989177489,0.404761905,0.09,0.222222222,0.181818182,29-10-2000 2.30
